5-2AMZ05,12.23.6.3
CACADRTI01,12.47.0.1
CACADSWI01,12.47.12.100
CAHILRTI01,12.46.192.1
CAIZLRTI01,12.47.192.1
CAKUGRTI01,12.46.128.1
CAVANRTI01,12.44.240.1
CDKINRTI01,12.103.128.57
CDKINRTI02,12.103.128.114
CDKINSWI01,12.103.128.58
CDKINSWI02,12.103.128.94
CDKINSWI03,12.103.140.100
CDKINSWI05,12.103.140.151
CDKINSWI06,12.103.140.152
CDKINSWI07,12.103.140.153
CDKINSWI08,12.103.140.154
CDKINSWI09,12.103.140.155
CDKINSWI10,12.103.140.156
CDKINSWI11,12.103.140.157
CDKINSWI12,12.103.140.158
CDKINSWI13,12.103.140.159
CDKINSWI14,12.103.140.160
CDKINSWI15,12.103.140.161
CDKINSWI16,12.103.140.162
CDKINSWI17,12.103.140.163
CDKINSWI18,12.103.140.164
CDKINSWI19,12.103.140.165
CDKINSWI20,12.103.140.166
CDKINSWI21,12.103.140.167
CDKINSWI22,12.103.140.168
CDKINSWI23,12.103.140.169
CDKINSWI24,12.103.140.170
CDKINSWI25,12.103.140.171
CDKINSWI26,12.103.140.172
CDKINSWI27,12.103.140.173
CDKINSWI28,12.103.140.174
CDKINSWI29,12.103.140.175
CDKINSWI30,12.103.140.176
CDKINSWI31,12.103.140.177
CDKINSWI32,12.103.140.178
CDKINSWI33,12.103.140.179
CDKINSWI34,12.103.140.180
CDKINSWI35,12.103.140.181
CDKINSWI36,12.103.140.182
CDKINSWI37,12.103.140.183
CDKSHRT01,12.106.0.1
CDKSHSWI01,12.106.0.3
CDLBBRTI01,12.103.192.1
CDLBBSWI01,12.103.204.151
CDLBBSWI02,12.103.204.152
CDLBBSWI03,12.103.204.153
CDLBBSWI04,12.103.192.3
CDLBBSWI05,12.103.204.200
CDLUBRTI02,12.103.192.2
CDMGCAD-SW01,12.47.0.110
CDMGVAN-SW01,12.44.6.20
CLSANRTI01,12.46.64.1
CNBEIRTI01,12.48.0.1
CNBEISWI01,12.48.0.3
CNHKORTI01,12.12.0.1
CNHKOSWI02,12.12.12.201
GGOSWI55,12.64.32.189
GLALLRTI01,12.33.128.1
GLALLSWI01,12.33.140.2
LASEPRTI01,12.1.33.254
LASEPRTI02,12.25.0.1
LASEPSWI01,12.25.12.100
LAVTERTI01,12.24.0.2
LAVTERTI02,12.24.0.1
LAVTESWI01,12.24.0.58
LAVTESWI02,12.24.12.202
LAVTESWI03,12.24.12.203
LAVTESWI04,12.24.12.100
lxm-sep-01-sw-08,209.0.76.39
lxm-sep-02-sw-07,209.0.74.35
lxm-sep-02-sw-08,209.0.68.59
LXM-SEP-02-SWI-09,209.0.68.63
LXM-SEP-02-SWI-10,209.0.68.51
lxm-sep-08-swi-01,209.0.68.52
lxm-sep-08-swi-02,209.0.68.53
lxm-sep-08-swi-03,209.0.68.54
lxm-sep-08-swi-04,209.0.68.55
lxm-sep-08-swi-05,209.0.68.56
lxm-sep-08-swi-06,209.0.68.57
lxm-sep-08-swi-07,209.0.68.58
lxm-sep-08-swi-08,209.0.68.60
lxm-sep-08-swi-09,209.0.68.62
LXM-SEP-08-SWI-10,209.0.68.65
lxm-sep-08-swi-13,209.0.68.61
lxm-sep-08-swi-15,209.0.68.64
lxmseprt5,209.0.69.4
lxmsepsw1,209.0.68.34
lxmsepsw11,12.128.32.187
lxmsepsw1a,209.0.76.40
lxmsepsw2,209.0.68.38
lxmsepsw2a,209.0.68.42
lxmsepsw3,12.128.34.140
lxmsepsw4,12.128.32.139
lxmsepsw5,209.0.68.39
lxmsepsw6,209.0.68.33
lxmsepsw7a,209.0.68.35
lxmsepsw7b,209.0.68.43
lxmsepsw7lv,209.0.70.44
lxmsepsw7tr,209.0.70.45
lxmsepsw8,209.0.69.55
lxmsepsw8a,209.0.69.56
lxmsepsw9j,209.0.68.41
lxmsepswa,209.0.68.36
lxmsepswcw,209.0.68.91
lxmsepswfa,209.0.68.90
lxmsepswjd,209.0.68.47
lxmsepswjf,209.0.68.44
lxmsepswjfa,209.0.68.46
lxmsepswjg,209.0.68.45
lxmsepswl,209.0.68.49
lxmsepswm,209.0.70.35
lxmsepswn,209.0.66.36
lxmsepswo,209.0.70.37
lxmsepswp,209.0.70.38
lxmsepswq,209.0.68.40
lxmsepswr,209.0.76.42
lxmsepsws,209.0.76.36
lxmsepswsa,209.0.68.50
lxmsepswx,209.0.70.40
lxmsepswy,209.0.70.41
lxmsepswz,209.0.70.42
lxmsepswz1,209.0.70.43
PELABRTI01,12.51.128.1
PELABRTI02,12.51.128.2
PELABSWI02,12.51.140.200
PELIMRTI01,12.52.128.1
PELIMRTI02,12.52.128.2
PELIMSWI01,12.52.128.3
PELIMSWI02,12.52.140.2
PELIMSWI03,12.52.140.3
PELIMSWI04,12.52.140.4
PELIMSWI05,12.52.140.6
PELIPRTI01,12.52.0.1
PELIPRTI02,12.52.0.2
PELIPRTI03,12.52.0.3
PELIPRTMI01,12.52.12.2
PELIPSWI01,12.52.0.4
PELIPSWI02,12.52.12.200
ROADPBXVG01,12.31.96.11
ROADPBXVG02,12.31.96.12
ROADPBXVG03,12.31.96.13
ROADPBXVG04,12.31.96.14
ROADPBXVG05,12.31.96.15
ROBALD-SW01,12.31.252.69
ROBOBSW01,12.31.252.2
RONUC-SW01,12.31.252.78
ROUG17LVG01,12.31.96.16
ROUG33P-VG01,12.31.81.3
ROUG33PVG02,12.31.81.4
ROUG33PVG03,12.31.81.5
ROUGBRKTHRU-VG01,12.31.65.2
ROUGCRIB-VG01,12.31.81.6
ROUGWLENS-VG01,12.31.81.7
SEPRTR02,12.1.34.1
USDENRTI01,12.47.128.1
USDENSWI01,12.47.128.3
ZAATPRTI01,12.202.64.1
ZAJHBRTI01,12.24.64.1
ZAJHBSWI02,12.24.76.200
zalkarti01,12.103.64.1
